content_asli,teks_bersih,score,sentimen,at,panjang_asli,panjang_bersih,thumbsUpCount
"Sekelas Shopee yg tiap bulan bagi2 HP, mobil, dll dengan harga murah. masak ganti kerugian saya yg kena tipu barang palsu 700k gk mau, cuma mau separuh nya aja. Bukannya gk bersyukur, gaji saya kecil mau beli barang di Shopee mlh kena tipu, berarti Shopee masih lemah dalam pengawasan toko2, masih banyak toko scam yg bertebaran. pesan saya buat pihak Shopee perketat pengawasan dan beri sangsi yg berat untuk toko2 scam. tanggung jawab itu penting klo gk kelar didunia pasti lanjut diakhirat.",kelas tiap bulan hp mobil harga murah masak ganti rugi kena tipu barang palsu tidak mau cuma mau paruh bukan tidak syukur gaji kecil mau beli barang mlh kena tipu arti lemah awas toko banyak toko scam tebar pesan buat pihak ketat awas beri sangsi berat toko scam tanggung jawab penting kalau tidak kelar dunia lanjut akhirat,1,Negatif,2026-05-15 19:38:08,82,57,0
pengembalian barang dana tidak adil berpihak ke buyer,kembali barang dana tidak adil pihak buyer,1,Negatif,2026-05-15 19:37:59,8,7,0
"belanja oln terbaik,banyak yg murah2 nya, barang sama di oln yg lain cuman di, shopee yg murah cepat trimks",belanja oln baik banyak murah barang sama oln cuman murah cepat trimks,4,Positif,2026-05-15 19:35:19,19,12,0
"pelayanan bagus begitu sampai di pusat hub pengantaran, barang langsung di antar",layan bagus pusat hub antar barang langsung antar,5,Positif,2026-05-15 19:34:43,12,8,0
barang jos SMG mkin maju toko nya amin,barang jos smg mkin maju toko amin,5,Positif,2026-05-15 19:33:52,8,7,0
bagus banget murah kagummm .,bagus banget murah kagummm,4,Positif,2026-05-15 19:33:52,5,4,0
"klo ada brang yg gk sampai/diluar faktor kendali gudang,susah pengajuanya, gk bisa duit balik",kalau brang tidak luar faktor kendali gudang susah pengajuanya tidak duit balik,1,Negatif,2026-05-15 19:33:27,14,12,0
sangat cepet pengiriman,sangat cepat kirim,5,Positif,2026-05-15 19:31:57,3,3,0
sudah GX amanah,gx amanah,1,Negatif,2026-05-15 19:30:17,3,2,0
kwnpa ya saya sekarang pake shopee gak bisa cod lagi ? tolong bantu jawab dong,kwnpa sekarang pake tidak bayar tempat bantu jawab,5,Positif,2026-05-15 19:28:46,15,8,0
puas pokoknya deh belanja di Shopee,puas pokok belanja,5,Positif,2026-05-15 19:26:51,6,3,0
sangat membantu dalam pembelian,sangat bantu beli,5,Positif,2026-05-15 19:26:48,4,3,0
Alhamdulillah bermanfaat,alhamdulillah manfaat,5,Positif,2026-05-15 19:23:57,2,2,0
shope emg mantap,memang bagus,5,Positif,2026-05-15 19:22:45,3,2,1
sangat senang 😍,sangat senang,5,Positif,2026-05-15 19:22:27,3,2,0
"ini aplikasi berat bgt dh, tiap habis buka apk ini pasti lemot dan hp ikutan lemot, padahal buka apk lain b aja. dan iklannya sumpah ganggu banget, disetiap aplikasi ada apalagi tiap main game. ga ada iklan atau apa tiba-tiba kebuka pdahal lagi asik main",berat banget dh tiap habis buka lambat hp ikut lambat padahal buka iklan sumpah ganggu banget tiap tiap main game tidak iklan apa tiba tiba buka pdahal asik main,2,Negatif,2026-05-15 19:21:43,45,29,0
tim ekpedisi suka ngerugiin orang contoh nya nipu dana pemerasan,tim ekpedisi suka ngerugiin orang contoh nipu dana peras,1,Negatif,2026-05-15 19:20:51,10,9,0
"Yang membuat banyak pengguna kecewa bukan cuma keterlambatan SPX, tapi cara penanganannya. Komplain diputar-putar, jawaban copy-paste, investigasi lama, sementara pelanggan diminta terus sabar. Perusahaan sebesar Shopee seharusnya mampu memberi layanan yang transparan dan profesional, bukan membuat pelanggan merasa diabaikan setelah transaksi selesai.",buat banyak guna kecewa bukan cuma lambat spx cara tangan komplain putar putar jawab copy paste investigasi lama langgan minta terus sabar usaha besar mampu beri layan transparan profesional bukan buat langgan rasa abai transaksi selesai,1,Negatif,2026-05-15 19:20:46,42,36,0
kenapa setiap top up tidak ada namanya ya ... pengirimannya lama sampai 8 hari mungkin pilih instan gak masalah kalau bayar lebih ... dan jika penjual ingin review bagus mungkin bisa nilai bintang 5,top up tidak nama kirim lama hari mungkin pilih instan tidak masalah kalau bayar lebih jual review bagus mungkin nilai bintang,5,Positif,2026-05-15 19:09:23,34,21,0
Alhamdulillah shopee sangat bagus 😁,alhamdulillah sangat bagus,5,Positif,2026-05-15 19:08:20,5,3,0
"bagus, tapi belom apa apa udh kena pelanggaran gmna dah",bagus bom apa apa kena langgar gmna dah,3,Netral,2026-05-15 19:06:55,10,8,0
sangat puas dengan aplikasi ini,sangat puas,5,Positif,2026-05-15 19:05:15,5,2,0
hokihoki,hokihoki,5,Positif,2026-05-15 19:04:50,1,1,0
tolong dong jangn d batasi COD nya,jangn batas bayar tempat,5,Positif,2026-05-15 19:04:00,7,4,0
pokoknya blanja apa saja dishopee lengkap dan juga ramah dikantong (yg penting harus cek ulasan yah klo mau beli),pokok blanja apa dishopee lengkap ramah kantong penting cek ulas kalau mau beli,5,Positif,2026-05-15 19:03:04,19,13,0
i like Shopee,like,5,Positif,2026-05-15 19:02:53,3,1,0
saya mau cek ot tapi gabisa ada tombol harus dipelajari pas saya coba ga bisa mohon diperbaiki untuk masalah itu,mau cek ot gabisa tombol ajar pas coba tidak mohon baik masalah,3,Netral,2026-05-15 19:01:37,20,12,0
Sekarang pengiriman makin cepat apabila langsung dari aplikasi Shopee. Merupakan salah satu aplikasi belanja yg mumpuni dan nomor satu,sekarang kirim makin cepat apabila langsung rupa salah satu belanja mumpuni nomor satu,5,Positif,2026-05-15 19:01:03,19,13,0
"belanja lebih mudah,barang sesuai dg deskripsi tp juga kadang tidak sesuai dengan deskripsi tapi dari situ kita juga memaklumi harga mempengaruhi kwalitas suatu barang",belanja lebih mudah barang sesuai deskripsi kadang tidak sesuai deskripsi situ maklum harga pengaruh kwalitas suatu barang,5,Positif,2026-05-15 19:00:54,24,17,0
"senang belanja Shopee layanan konsumen cepat tepat , banyak pilihan produk yg menarik.. bebas ongkir 👏👍",senang belanja layan konsumen cepat tepat banyak pilih produk tarik bebas ongkos kirim,5,Positif,2026-05-15 19:00:33,16,13,0
"sangat berterima kasi kepada shopee atas pelayana yang selama ini di Berikan kepada kami,kepuasan kami berbelanja shopee lah tempatnya .",sangat terima kasi atas pelayana lama ikan puas belanja tempat,5,Positif,2026-05-15 19:00:12,20,10,0
layanan Shopee cukup bagus reaksi cepat saya puas dengan Shopee,layan cukup bagus reaksi cepat puas,5,Positif,2026-05-15 18:58:51,10,6,0
kebanyakan iklan di aplikasi lain sangat ganggu,banyak iklan sangat ganggu,1,Negatif,2026-05-15 18:58:07,7,4,0
"Seller abal abal ko' bisa lolos, gimana sch",seller abal abal ko lolos gimana sch,1,Negatif,2026-05-15 18:56:50,8,7,0
"sangat mudah dalam berbelanja, lengkap dan terjamin,, oke",sangat mudah belanja lengkap jamin,5,Positif,2026-05-15 18:56:34,8,5,0
"Beberapa kali paket yang dikirim zonk dengan nominal yang lumayan, kadang masih bisa di refund & pernah juga duit gag balik² smentara barang sudah dibalikin🙃 tolong lebih disaring lagi toko² nakal yang punya niatan nipu, jangan sampai aplikasi orange ini bernasip sama dg aplikasi biru sebelah👍🏻",beberapa kali paket kirim zonk nominal lumayan kadang refund pernah duit gag balik smentara barang dibalikin lebih saring toko nakal punya niat nipu jangan orange bernasip sama biru belah,5,Positif,2026-05-15 18:56:32,46,29,0
kalau gak dirubah standar pengirimannya mesti pake SPX dan lama banget dari dikemas- pengirimannya sekarang butuh 2 hari belum lagi nyampai ke tujuan butuh 4-5 hari,kalau tidak rubah standar kirim mesti pake spx lama banget kemas kirim sekarang butuh hari belum nyampai tuju butuh hari,1,Negatif,2026-05-15 18:55:57,26,20,0
Mantap,bagus,5,Positif,2026-05-15 18:55:16,1,1,0
"belanja di shopee tanpa ribet baik cod, cash maupun cicilan",belanja tanpa ribet baik bayar tempat cash maupun cicil,5,Positif,2026-05-15 18:54:09,10,9,0
Pengiriman cepat mantulllll,kirim cepat mantulllll,5,Positif,2026-05-15 18:54:07,3,3,0
knpa aku kasih bintang 2 ..karena kurir shopenya nganter paketnya jam 10 malem....g ngotakk emang,knpa kasih bintang kurir shopenya nganter paket jam malem ngotakk memang,2,Negatif,2026-05-15 18:53:35,15,11,0
good job,good job,5,Positif,2026-05-15 18:52:29,2,2,0
gercep....,gercep,5,Positif,2026-05-15 18:51:46,1,1,0
bagus mkasih,bagus mkasih,4,Positif,2026-05-15 18:49:36,2,2,0
tolongg untuk permainan shoppe tanamnya ga perlu ada lomba perang airnya keklik alat siram tanaman muncul kumpulkan air belum ngerjain misi misinya malah nyalip duluan😥☹️,tolongg main tanam tidak perlu lomba perang air klik alat siram tanam muncul kumpul air belum ngerjain misi misi malah nyalip duluan,1,Negatif,2026-05-15 18:49:12,25,22,3
"sumpah suka bgt aaaaaaaaa omaigat,banyak bgt promonya",sumpah suka banget aaaaaaaaa omaigat banyak banget promonya,5,Positif,2026-05-15 18:48:29,7,8,0
uang shopee afiiate GK bisa di tarik,uang afiiate tidak tarik,3,Netral,2026-05-15 18:48:17,7,4,0
bagus aplikasinya apalagi sekarang bisa terhubung ke Facebook...bisa jualan di Facebook,bagus aplikasi sekarang hubung facebook jual facebook,5,Positif,2026-05-15 18:47:57,11,7,0
baik,baik,5,Positif,2026-05-15 18:44:55,1,1,0
nice,nice,5,Positif,2026-05-15 18:42:39,1,1,0
"ngak ngasih tahu program penjualan, alhasil saya yang punya toko dikuras 20% potongan per pembelian orang, apaan gak ngasih tau tiba² ngikut program, ngerugiin penjual tloI",ngak ngasih tahu program jual alhasil punya toko kuras potong per beli orang apa tidak ngasih tau tiba ngikut program ngerugiin jual tloi,1,Negatif,2026-05-15 18:40:58,26,23,0
"kurirnya pada ga niat kerja, coba nanti cantumkan nomer kurirnya jika paket sudah ada ditangan kurir. paket saya sering kali di curi sama kurirnya dengan alasan saya menunda pengiriman padahal saya ga pernah meminta menunda pengiriman ujung² nya paket saya gagal dikirim",kurir tidak niat kerja coba cantum nomer kurir paket tang kurir paket sering kali curi sama kurir alas tunda kirim padahal tidak pernah minta tunda kirim ujung paket gagal kirim,1,Negatif,2026-05-15 18:38:36,42,30,0
"sangat lengkap dan banyak diskonnya, rekomendasi buat yang mencari barang",sangat lengkap banyak diskon rekomendasi buat cari barang,5,Positif,2026-05-15 18:37:39,10,8,0
parah Spayletter msh aja gak berubah udh brp tahun cma telat 7 hari,buruk spayletter msh tidak ubah brp tahun cma telat hari,1,Negatif,2026-05-15 18:31:35,13,10,0
Bagus,bagus,5,Positif,2026-05-15 18:31:16,1,1,0
Shopee sangat membantu walaupun masih ada sebagian kecil toko yang curang/ nakal.......! toko yg tidak jujur harus di tindakan biar tidak merusak nama Shopee yg sudah terkenal,sangat bantu walaupun bagi kecil toko curang nakal toko tidak jujur tindak biar tidak rusak nama kenal,5,Positif,2026-05-15 18:29:48,27,17,0
"jualan dishope, bukannya untung malah buntung, hasil penjualan tidak masuk ke saldo penjual, walaupun hanya 25rb, ternyata doyan juga shope uang 25rb😂ngenessss shope skr ada malingnya",jual dishope bukan untung malah buntung hasil jual tidak masuk saldo jual walaupun rb nyata doyan uang rb ngenessss skr maling,1,Negatif,2026-05-15 18:27:34,26,21,0
the best pokoknya,the best pokok,5,Positif,2026-05-15 18:24:44,3,3,0
barang ga sesuai,barang tidak sesuai,1,Negatif,2026-05-15 18:23:13,3,3,0
padahal udah lama kasi 5 bintang loh,padahal lama kasi bintang loh,5,Positif,2026-05-15 18:20:17,7,5,0
gg gaming,gg gaming,5,Positif,2026-05-15 18:19:52,2,2,0
barang nya bagus dan gercep,barang bagus gercep,5,Positif,2026-05-15 18:18:57,5,3,0
"aplikasi sangat baik tetapi sekarang sering banget kejadian PENGIRIMAN DI BATALKAN SISTEM TETAPI BARANG YG KEMBALI BUKAN YANG KITA KIRIM DAN EXPEDISI SPX SEKARANG SERING BARANG NYAMPE KE KONSUMEN SUDAH DI GANTI OKNUM"" SPX ENTAH BAGIAN GUDANG ENTAH BAGIAN LAPANG TOLONG DI PERBAHARUI SISTEM DAN PERKETAT LAGI TIM EXPEDESI TERKAIT🙏",sangat baik sekarang sering banget jadi kirim batal sistem barang bukan kirim expedisi spx sekarang sering barang nyampe konsumen ganti oknum spx entah bagi gudang entah bagi lapang baharu sistem ketat tim expedesi kait,5,Positif,2026-05-15 18:16:40,50,34,0
"cukup aman belanja disini,belum ada kendala selama saya belanja,terimakasih shopee",cukup aman belanja sini belum kendala lama belanja terimakasih,5,Positif,2026-05-15 18:16:38,10,9,0
tidak pernah mengecewakan,tidak pernah kecewa,5,Positif,2026-05-15 18:15:07,3,3,0
sangat membantu kalo lagi cari barang barang yang dibutuhkan.,sangat bantu kalau cari barang barang butuh,5,Positif,2026-05-15 18:14:41,9,7,0
beberapa kali metode pembayaran COD tidak tersedia di shopeefood,beberapa kali metode bayar bayar tempat tidak sedia shopeefood,5,Positif,2026-05-15 18:14:10,9,9,0
saya sangat terbantu dengan aplikasi ini,sangat bantu,5,Positif,2026-05-15 18:13:00,6,2,0
aplikasinya bagus tp jujur iklanya jngn berlebihan. masa aku lg enak enaknya baca wattpat tb tb muncul iklan shoppee. mana dikit diki iklan shopee.benci bgt sumpah sngt mengganggu,aplikasi bagus jujur iklanya jngn lebih masa lg enak enak baca wattpat tb tb muncul iklan shoppee mana dikit dik iklan benci banget sumpah sngt ganggu,2,Negatif,2026-05-15 18:11:00,28,26,0
"makin hari,makin lemot aja",makin hari makin lambat,5,Positif,2026-05-15 18:08:47,4,4,0
menurut aku kenapa ya setiap mau belanja harus masukin no tlpon giliran uda di masukin katanya no telpon nya uda perna di pake jadi aku pake no yang mana 😭padahal first time pake Shopee,mau belanja masukin no tlpon gilir uda masukin kata no telpon uda perna pake jadi pake no mana padahal first time pake,1,Negatif,2026-05-15 18:07:34,34,22,0
"Oke setelah masalah spx, keluar lagi yang baru. Untuk pengembalian barang menurutku jelek banget. Kenapa? Dari aplikasi ga dituliskan agen yang available mana aja, dari kurir juga ga tau harus kirim ke agen mana. Lalu pengembalian ini ga masuk ke ""pengembalian"" tapi masih di ""dikirim"" dan kita sebagai customer ga bisa lihat paket udah sampai mana pas kembali ke seller. Menurutku perlu diperbaiki sih ini. Tolong ya shopee. Perbaiki agar lebih baik lagi",masalah spx keluar baru kembali barang turut buruk banget tidak tulis agen available mana kurir tidak tau kirim agen mana lalu kembali tidak masuk kembali kirim customer tidak lihat paket mana pas seller turut perlu baik baik lebih baik,1,Negatif,2026-05-15 18:05:30,73,39,2
sangat bermanfaat,sangat manfaat,5,Positif,2026-05-15 18:03:35,2,2,0
sangat baik,sangat baik,5,Positif,2026-05-15 18:00:13,2,2,0
"Ok mantap, ada gratia ongkir terus hee saran saja, untuk kurir jasa kirimnya tolong di cantumin no hp/ WA nya agar saya sebagai pembeli tau bahwa paket pesanan saya menuju rumah atau ke tampat lain dulu",bagus gratia ongkos kirim terus hee saran kurir jasa kirim cantumin no hp wa beli tau paket pesan tuju rumah tampat dulu,5,Positif,2026-05-15 17:58:08,36,22,0
jasa pengiriman nya lama banget dah sumpah bikin kesel mana kalo udah telat cuman di kasih vocer 10k trus barang banyak yang ga sesuai,jasa kirim lama banget dah sumpah bikin kesel mana kalau telat cuman kasih vocer trus barang banyak tidak sesuai,1,Negatif,2026-05-15 17:58:06,24,19,0
"terimakasih shoope atas kepercayaan nya pada sy ,ga nyesal jadi pelanggan shopee bertahun2 keamanan akun sangat bagus ,dgn melindungi dulu dana customer smpe 7 hari kedepan dan adanya fasilitas ajukan pengembalian dana komplain yg ditanggapi dengan baik,sukses terus utk shoope",terimakasih shoope atas percaya tidak nyesal jadi langgan tahun aman akun sangat bagus lindung dulu dana customer smpe hari depan ada fasilitas aju kembali dana komplain tanggap baik sukses terus shoope,5,Positif,2026-05-15 17:57:15,40,31,0
BAGUS,bagus,5,Positif,2026-05-15 17:57:05,1,1,0
jos jis..langganan,jos jis langgan,5,Positif,2026-05-15 17:56:53,2,3,0
Good,good,5,Positif,2026-05-15 17:56:40,1,1,0
memuaskan belanja dishopee,muas belanja dishopee,5,Positif,2026-05-15 17:56:40,3,3,0
Very good,very good,5,Positif,2026-05-15 17:55:44,2,2,0
ini kok cod nya gak bisa digunain yah? apa sedang eror awalnya saya merasa cocok tetapi semenjak COD tdk bisa lagi sya jdi merasa tdk nyaman udah lama kok akun sya gak bisa bisa yah COD nya,kok bayar tempat tidak digunain apa sedang eror awal rasa cocok semenjak bayar tempat tdk sya jdi rasa tdk nyaman lama kok akun sya tidak bayar tempat,1,Negatif,2026-05-15 17:54:06,37,27,0
hampir tiap hari order di shopee,hampir tiap hari order,5,Positif,2026-05-15 17:52:51,6,4,0
perlu sesuatu ga perlu repot,perlu tidak perlu repot,5,Positif,2026-05-15 17:52:49,5,4,0
apk paling ok..,paling,5,Positif,2026-05-15 17:50:39,3,1,0
"aplikasi ga jelas woi guna nya CS buat apa woi kalo ga bisa membantu, hanya bisa muter-muter pertanyaan aja . celek",tidak jelas woi cs buat apa woi kalau tidak bantu muter muter tanya celek,1,Negatif,2026-05-15 17:50:12,21,14,0
"makin lama, makin burung pelayanan nya...top up etoll...saldo gak masuk sopay nya kepotong...tetep bayar walau gak trima prodak, hati2 kl top up...makin ngaco aja sistem nya...gw RETUR BARANG UDH DI TRIMA TOKO, PENGEMBALIN SELESAI STATUS DI TOLAK ,UANG GAK BALIK ,BARANG UDH BALIK KE TOKO,, GW HARUS TETEP BAYAR.",makin lama makin burung layan top up etoll saldo tidak masuk sopay potong tetep bayar tidak trima prodak hati kalau top up makin ngaco sistem gw retur barang trima toko pengembalin selesai status tolak uang tidak balik barang balik toko gw tetep bayar,4,Positif,2026-05-15 17:49:07,49,43,0
